school_name,major_name,description
北京大学,科学技术史,学科评估：B
北京大学,地球物理学,学科评估：B
北京大学,管理科学与工程,学科评估：B-
北京大学,天文学,学科评估：B-
北京大学,戏剧与影视学,学科评估：C+
内蒙古大学,中国语言文学,学科评估：B
内蒙古大学,生物学,学科评估：B
内蒙古大学,民族学,学科评估：B
内蒙古大学,生态学,学科评估：B
内蒙古大学,马克思主义理论,学科评估：B-
内蒙古大学,物理学,学科评估：B-
内蒙古大学,化学,学科评估：B-
内蒙古大学,数学,学科评估：B-
内蒙古大学,计算机科学与技术,学科评估：B-
内蒙古大学,法学,学科评估：C+
内蒙古大学,中国史,学科评估：C+
内蒙古大学,经济学,学科评估：C
内蒙古大学,环境科学与工程,学科评估：C-
内蒙古大学,软件工程,学科评估：C-
内蒙古大学,外国语言文学,学科评估：C-
大连海事大学,交通运输工程,学科评估：B+
大连海事大学,法学,学科评估：B
大连海事大学,环境科学与工程,学科评估：B
大连海事大学,计算机科学与技术,学科评估：B
大连海事大学,船舶与海洋工程,学科评估：B
大连海事大学,马克思主义理论,学科评估：B
大连海事大学,控制科学与工程,学科评估：B-
大连海事大学,管理科学与工程,学科评估：B-
大连海事大学,信息与通信工程,学科评估：B-
大连海事大学,工商管理,学科评估：C+
大连海事大学,软件工程,学科评估：C
大连海事大学,外国语言文学,学科评估：C
大连海事大学,公共管理,学科评估：C-
大连海事大学,机械工程,学科评估：C-
哈尔滨工业大学,环境科学与工程,学科评估：A+
哈尔滨工业大学,控制科学与工程,学科评估：A+
哈尔滨工业大学,机械工程,学科评估：A+
哈尔滨工业大学,管理科学与工程,学科评估：A
哈尔滨工业大学,土木工程,学科评估：A
哈尔滨工业大学,材料科学与工程,学科评估：A
哈尔滨工业大学,计算机科学与技术,学科评估：A
哈尔滨工业大学,力学,学科评估：A
哈尔滨工业大学,数学,学科评估：A-
哈尔滨工业大学,化学工程与技术,学科评估：A-
哈尔滨工业大学,城乡规划学,学科评估：A-
哈尔滨工业大学,信息与通信工程,学科评估：A-
哈尔滨工业大学,软件工程,学科评估：A-
哈尔滨工业大学,仪器科学与技术,学科评估：A-
哈尔滨工业大学,电气工程,学科评估：A-
哈尔滨工业大学,光学工程,学科评估：A-
哈尔滨工业大学,动力工程及工程热物理,学科评估：A-
哈尔滨工业大学,物理学,学科评估：B+
哈尔滨工业大学,航空宇航科学与技术,学科评估：B+
哈尔滨工业大学,工商管理,学科评估：B+
哈尔滨工业大学,交通运输工程,学科评估：B+
哈尔滨工业大学,建筑学,学科评估：B+
哈尔滨工业大学,风景园林学,学科评估：B
哈尔滨工业大学,设计学,学科评估：B
哈尔滨工业大学,生物医学工程,学科评估：B
哈尔滨工业大学,公共管理,学科评估：B
哈尔滨工业大学,电子科学与技术,学科评估：B
哈尔滨工业大学,统计学,学科评估：B
哈尔滨工业大学,外国语言文学,学科评估：B-
哈尔滨工业大学,马克思主义理论,学科评估：C+
哈尔滨工业大学,社会学,学科评估：C+
哈尔滨工业大学,化学,学科评估：C+
哈尔滨工业大学,食品科学与工程,学科评估：C+
哈尔滨工业大学,海洋科学,学科评估：C
哈尔滨工业大学,生物学,学科评估：C
哈尔滨工业大学,科学技术史,学科评估：C
云南大学,民族学,学科评估：A+
云南大学,生态学,学科评估：A-
云南大学,生物学,学科评估：B+
云南大学,政治学,学科评估：B+
云南大学,统计学,学科评估：B
云南大学,中国史,学科评估：B
云南大学,理论经济学,学科评估：B
云南大学,化学,学科评估：B
云南大学,数学,学科评估：B
云南大学,图书情报与档案管理,学科评估：B
云南大学,工商管理,学科评估：B
云南大学,软件工程,学科评估：B-
云南大学,计算机科学与技术,学科评估：B-
云南大学,中国语言文学,学科评估：B-
云南大学,法学,学科评估：B-
云南大学,马克思主义理论,学科评估：B-
云南大学,信息与通信工程,学科评估：C+
云南大学,公共管理,学科评估：C+
云南大学,系统科学,学科评估：C+
云南大学,社会学,学科评估：C+
云南大学,世界史,学科评估：C+
云南大学,物理学,学科评估：C+
云南大学,经济学,学科评估：C
云南大学,教育学,学科评估：C
云南大学,哲学,学科评估：C
云南大学,新闻传播学,学科评估：C-
云南大学,艺术学理论,学科评估：C-
云南大学,美术学,学科评估：C-
云南大学,外国语言文学,学科评估：C-
云南大学,地理学,学科评估：C-
长安大学,地质资源与地质工程,学科评估：B+
长安大学,交通运输工程,学科评估：B+
长安大学,土木工程,学科评估：B
长安大学,测绘科学与技术,学科评估：B
长安大学,城乡规划学,学科评估：B-
长安大学,环境科学与工程,学科评估：B-
长安大学,机械工程,学科评估：B-
长安大学,计算机科学与技术,学科评估：C+
长安大学,马克思主义理论,学科评估：C+
长安大学,工商管理,学科评估：C
长安大学,公共管理,学科评估：C
长安大学,水利工程,学科评估：C
长安大学,建筑学,学科评估：C-
长安大学,力学,学科评估：C-
长安大学,软件工程,学科评估：C-
长安大学,材料科学与工程,学科评估：C-
西北大学,考古学,学科评估：A+
西北大学,理论经济学,学科评估：A-
西北大学,化学工程与技术,学科评估：B+
西北大学,化学,学科评估：B+
西北大学,世界史,学科评估：B+
西北大学,地质学,学科评估：B+
西北大学,软件工程,学科评估：B+
西北大学,科学技术史,学科评估：B
西北大学,数学,学科评估：B
西北大学,生态学,学科评估：B
西北大学,地理学,学科评估：B
西北大学,地质资源与地质工程,学科评估：B
西北大学,生物学,学科评估：B
西北大学,中国史,学科评估：B
西北大学,物理学,学科评估：B
西北大学,中国语言文学,学科评估：B
西北大学,计算机科学与技术,学科评估：B-
西北大学,新闻传播学,学科评估：C+
西北大学,城乡规划学,学科评估：C+
西北大学,统计学,学科评估：C+
西北大学,经济学,学科评估：C+
西北大学,外国语言文学,学科评估：C
西北大学,信息与通信工程,学科评估：C-
西北大学,光学工程,学科评估：C-
西北大学,环境科学与工程,学科评估：C-
西北大学,电子科学与技术,学科评估：C-
北京交通大学,系统科学,学科评估：A+
北京交通大学,交通运输工程,学科评估：A
北京交通大学,信息与通信工程,学科评估：A
北京交通大学,管理科学与工程,学科评估：A-
北京交通大学,土木工程,学科评估：A-
北京交通大学,计算机科学与技术,学科评估：A-
北京交通大学,工商管理,学科评估：A-
北京交通大学,软件工程,学科评估：B+
北京交通大学,机械工程,学科评估：B+
北京交通大学,经济学,学科评估：B+
北京交通大学,马克思主义理论,学科评估：B+
北京交通大学,统计学,学科评估：B+
北京交通大学,电气工程,学科评估：B
北京交通大学,光学工程,学科评估：B
北京交通大学,力学,学科评估：B
北京交通大学,安全科学与工程,学科评估：B-
北京交通大学,数学,学科评估：B-
北京交通大学,外国语言文学,学科评估：B-
北京交通大学,电子科学与技术,学科评估：B-
北京交通大学,控制科学与工程,学科评估：B-
北京交通大学,物理学,学科评估：C+
北京交通大学,城乡规划学,学科评估：C
北京交通大学,动力工程及工程热物理,学科评估：C
北京交通大学,法学,学科评估：C
北京交通大学,建筑学,学科评估：C
北京交通大学,环境科学与工程,学科评估：C
北京交通大学,材料科学与工程,学科评估：C
北京交通大学,设计学,学科评估：C-
北京外国语大学,外国语言文学,学科评估：A+
北京外国语大学,政治学,学科评估：B-
北京外国语大学,法学,学科评估：C+
北京外国语大学,中国语言文学,学科评估：C+
北京外国语大学,管理科学与工程,学科评估：C+
北京外国语大学,新闻传播学,学科评估：C+
中央音乐学院,音乐与舞蹈学,学科评估：A+
河北工业大学,化学工程与技术,学科评估：B+
河北工业大学,电气工程,学科评估：B
河北工业大学,材料科学与工程,学科评估：B
河北工业大学,机械工程,学科评估：B
河北工业大学,工商管理,学科评估：B
河北工业大学,控制科学与工程,学科评估：B-
河北工业大学,管理科学与工程,学科评估：B-
河北工业大学,马克思主义理论,学科评估：C+
河北工业大学,土木工程,学科评估：C+
河北工业大学,电子科学与技术,学科评估：C+
河北工业大学,计算机科学与技术,学科评估：C+
河北工业大学,动力工程及工程热物理,学科评估：C
河北工业大学,仪器科学与技术,学科评估：C-
河北工业大学,生物医学工程,学科评估：C-
武汉大学,地球物理学,学科评估：A+
武汉大学,马克思主义理论,学科评估：A+
武汉大学,测绘科学与技术,学科评估：A+
武汉大学,图书情报与档案管理,学科评估：A+
武汉大学,生物学,学科评估：A
武汉大学,公共管理,学科评估：A
武汉大学,法学,学科评估：A
武汉大学,软件工程,学科评估：A
武汉大学,水利工程,学科评估：A-
武汉大学,新闻传播学,学科评估：A-
武汉大学,地理学,学科评估：A-
武汉大学,工商管理,学科评估：A-
武汉大学,计算机科学与技术,学科评估：A-
武汉大学,数学,学科评估：A-
武汉大学,化学,学科评估：A-
武汉大学,理论经济学,学科评估：A-
武汉大学,物理学,学科评估：A-
武汉大学,中国语言文学,学科评估：A-
武汉大学,哲学,学科评估：A-
武汉大学,口腔医学,学科评估：B+
武汉大学,生态学,学科评估：B+
武汉大学,药学,学科评估：B+
武汉大学,经济学,学科评估：B+
武汉大学,外国语言文学,学科评估：B+
武汉大学,世界史,学科评估：B+
武汉大学,土木工程,学科评估：B+
武汉大学,管理科学与工程,学科评估：B+
武汉大学,中国史,学科评估：B+
武汉大学,环境科学与工程,学科评估：B+
武汉大学,社会学,学科评估：B
武汉大学,临床医学,学科评估：B
武汉大学,建筑学,学科评估：B
武汉大学,信息与通信工程,学科评估：B
武汉大学,统计学,学科评估：B
武汉大学,考古学,学科评估：B
武汉大学,城乡规划学,学科评估：B
武汉大学,电气工程,学科评估：B
武汉大学,政治学,学科评估：B
武汉大学,电子科学与技术,学科评估：B
武汉大学,机械工程,学科评估：B
武汉大学,基础医学,学科评估：B
武汉大学,护理学,学科评估：B-
武汉大学,动力工程及工程热物理,学科评估：B-
武汉大学,控制科学与工程,学科评估：B-
武汉大学,材料科学与工程,学科评估：B-
武汉大学,公共卫生与预防医学,学科评估：C+
武汉大学,仪器科学与技术,学科评估：C+
武汉大学,力学,学科评估：C+
武汉大学,轻工技术与工程,学科评估：C+
武汉大学,光学工程,学科评估：C
武汉大学,生物医学工程,学科评估：C
北京林业大学,风景园林学,学科评估：A+
北京林业大学,林学,学科评估：A+
北京林业大学,林业工程,学科评估：B
北京林业大学,生物学,学科评估：B
北京林业大学,农林经济管理,学科评估：B
北京林业大学,生态学,学科评估：B
北京林业大学,环境科学与工程,学科评估：B-
北京林业大学,草学,学科评估：C+
北京林业大学,设计学,学科评估：C+
北京林业大学,机械工程,学科评估：C+
北京林业大学,工商管理,学科评估：C
北京林业大学,外国语言文学,学科评估：C
北京林业大学,城乡规划学,学科评估：C-
北京林业大学,统计学,学科评估：C-
北京林业大学,管理科学与工程,学科评估：C-
湖南大学,土木工程,学科评估：A-
湖南大学,化学,学科评估：A-
湖南大学,机械工程,学科评估：A-
湖南大学,设计学,学科评估：A-
湖南大学,工商管理,学科评估：A-
湖南大学,马克思主义理论,学科评估：B+
湖南大学,计算机科学与技术,学科评估：B+
湖南大学,数学,学科评估：B+
湖南大学,经济学,学科评估：B+
湖南大学,外国语言文学,学科评估：B+
湖南大学,电气工程,学科评估：B+
湖南大学,环境科学与工程,学科评估：B+
湖南大学,管理科学与工程,学科评估：B
湖南大学,统计学,学科评估：B
湖南大学,材料科学与工程,学科评估：B
湖南大学,法学,学科评估：B
湖南大学,化学工程与技术,学科评估：B
湖南大学,城乡规划学,学科评估：B
湖南大学,物理学,学科评估：B
湖南大学,建筑学,学科评估：B
湖南大学,控制科学与工程,学科评估：B
湖南大学,新闻传播学,学科评估：B
湖南大学,中国史,学科评估：B-
湖南大学,理论经济学,学科评估：B-
湖南大学,力学,学科评估：B-
湖南大学,电子科学与技术,学科评估：B-
湖南大学,公共管理,学科评估：B-
湖南大学,生物学,学科评估：C+
湖南大学,信息与通信工程,学科评估：C+
湖南大学,中国语言文学,学科评估：C
湖南大学,交通运输工程,学科评估：C
中央民族大学,民族学,学科评估：A+
中央民族大学,中国语言文学,学科评估：B+
中央民族大学,社会学,学科评估：B+
中央民族大学,音乐与舞蹈学,学科评估：B
中央民族大学,美术学,学科评估：B
中央民族大学,哲学,学科评估：B
中央民族大学,法学,学科评估：B-
中央民族大学,中国史,学科评估：B-
中央民族大学,公共管理,学科评估：B-
中央民族大学,工商管理,学科评估：C+
中央民族大学,生态学,学科评估：C+
中央民族大学,教育学,学科评估：C+
中央民族大学,理论经济学,学科评估：C+
中央民族大学,新闻传播学,学科评估：C
中央民族大学,统计学,学科评估：C
中央民族大学,马克思主义理论,学科评估：C
中央民族大学,考古学,学科评估：C
中央民族大学,计算机科学与技术,学科评估：C-
中央民族大学,经济学,学科评估：C-
中国人民大学,新闻传播学,学科评估：A+
中国人民大学,统计学,学科评估：A+
中国人民大学,理论经济学,学科评估：A+
中国人民大学,公共管理,学科评估：A+
中国人民大学,经济学,学科评估：A+
中国人民大学,社会学,学科评估：A+
中国人民大学,工商管理,学科评估：A+
中国人民大学,马克思主义理论,学科评估：A+
中国人民大学,法学,学科评估：A+
中国人民大学,政治学,学科评估：A
中国人民大学,哲学,学科评估：A
中国人民大学,中国语言文学,学科评估：A-
中国人民大学,中国史,学科评估：A-
中国人民大学,图书情报与档案管理,学科评估：A-
中国人民大学,计算机科学与技术,学科评估：B+
中国人民大学,农林经济管理,学科评估：B+
中国人民大学,外国语言文学,学科评估：B+
中国人民大学,软件工程,学科评估：B
中国人民大学,数学,学科评估：B
中国人民大学,世界史,学科评估：B
中国人民大学,物理学,学科评估：B
中国人民大学,艺术学理论,学科评估：B-
中国人民大学,考古学,学科评估：B-
中国人民大学,美术学,学科评估：B-
中国人民大学,环境科学与工程,学科评估：C+
中国人民大学,管理科学与工程,学科评估：C+
中国人民大学,化学,学科评估：C+
中国人民大学,音乐与舞蹈学,学科评估：C
中国人民大学,生态学,学科评估：C
中国人民大学,设计学,学科评估：C-
北京航空航天大学,软件工程,学科评估：A+
北京航空航天大学,仪器科学与技术,学科评估：A+
北京航空航天大学,材料科学与工程,学科评估：A+
北京航空航天大学,航空宇航科学与技术,学科评估：A+
北京航空航天大学,控制科学与工程,学科评估：A
北京航空航天大学,管理科学与工程,学科评估：A
北京航空航天大学,计算机科学与技术,学科评估：A
北京航空航天大学,信息与通信工程,学科评估：A-
北京航空航天大学,交通运输工程,学科评估：A-
北京航空航天大学,机械工程,学科评估：A-
北京航空航天大学,生物医学工程,学科评估：A-
北京航空航天大学,公共管理,学科评估：A-
北京航空航天大学,外国语言文学,学科评估：A-
北京航空航天大学,力学,学科评估：A-
北京航空航天大学,动力工程及工程热物理,学科评估：B+
北京航空航天大学,光学工程,学科评估：B+
北京航空航天大学,电子科学与技术,学科评估：B+
北京航空航天大学,法学,学科评估：B+
北京航空航天大学,工商管理,学科评估：B
北京航空航天大学,马克思主义理论,学科评估：B-
北京航空航天大学,环境科学与工程,学科评估：B-
北京航空航天大学,电气工程,学科评估：C+
北京航空航天大学,土木工程,学科评估：C+
北京邮电大学,信息与通信工程,学科评估：A+
北京邮电大学,计算机科学与技术,学科评估：A
北京邮电大学,电子科学与技术,学科评估：A-
北京邮电大学,软件工程,学科评估：B+
北京邮电大学,管理科学与工程,学科评估：B
北京邮电大学,光学工程,学科评估：B-
北京邮电大学,控制科学与工程,学科评估：B-
北京邮电大学,工商管理,学科评估：B-
北京邮电大学,公共管理,学科评估：C+
北京邮电大学,机械工程,学科评估：C+
北京邮电大学,生物医学工程,学科评估：C-
北京中医药大学,中医学,学科评估：A+
北京中医药大学,中西医结合,学科评估：A+
北京中医药大学,中药学,学科评估：B+
辽宁大学,工商管理,学科评估：B+
辽宁大学,马克思主义理论,学科评估：B+
辽宁大学,法学,学科评估：B+
辽宁大学,经济学,学科评估：B+
辽宁大学,理论经济学,学科评估：B
辽宁大学,哲学,学科评估：B-
辽宁大学,统计学,学科评估：B-
辽宁大学,中国语言文学,学科评估：B-
辽宁大学,公共管理,学科评估：B-
辽宁大学,新闻传播学,学科评估：C+
辽宁大学,化学,学科评估：C+
辽宁大学,生态学,学科评估：C
辽宁大学,戏剧与影视学,学科评估：C
辽宁大学,外国语言文学,学科评估：C
辽宁大学,政治学,学科评估：C
辽宁大学,物理学,学科评估：C
辽宁大学,数学,学科评估：C-
辽宁大学,中国史,学科评估：C-
辽宁大学,世界史,学科评估：C-
辽宁大学,生物学,学科评估：C-
辽宁大学,图书情报与档案管理,学科评估：C-
西南交通大学,交通运输工程,学科评估：A+
西南交通大学,土木工程,学科评估：A-
西南交通大学,电气工程,学科评估：B+
西南交通大学,管理科学与工程,学科评估：B+
西南交通大学,机械工程,学科评估：B+
西南交通大学,计算机科学与技术,学科评估：B+
西南交通大学,信息与通信工程,学科评估：B+
西南交通大学,工商管理,学科评估：B+
西南交通大学,马克思主义理论,学科评估：B+
西南交通大学,力学,学科评估：B
西南交通大学,材料科学与工程,学科评估：B
西南交通大学,测绘科学与技术,学科评估：B
西南交通大学,电子科学与技术,学科评估：B-
西南交通大学,软件工程,学科评估：B-
西南交通大学,控制科学与工程,学科评估：B-
西南交通大学,建筑学,学科评估：B-
西南交通大学,城乡规划学,学科评估：C+
西南交通大学,物理学,学科评估：C+
西南交通大学,地质资源与地质工程,学科评估：C+
西南交通大学,公共管理,学科评估：C+
西南交通大学,外国语言文学,学科评估：C+
西南交通大学,设计学,学科评估：C+
西南交通大学,统计学,学科评估：C
西南交通大学,中国语言文学,学科评估：C
西南交通大学,环境科学与工程,学科评估：C
西南交通大学,生物医学工程,学科评估：C
西南交通大学,数学,学科评估：C
西南交通大学,药学,学科评估：C-
北京师范大学,地理学,学科评估：A+
北京师范大学,中国语言文学,学科评估：A+
北京师范大学,中国史,学科评估：A+
北京师范大学,戏剧与影视学,学科评估：A+
北京师范大学,教育学,学科评估：A+
北京师范大学,心理学,学科评估：A+
北京师范大学,环境科学与工程,学科评估：A
北京师范大学,数学,学科评估：A
北京师范大学,统计学,学科评估：A-
北京师范大学,理论经济学,学科评估：A-
北京师范大学,外国语言文学,学科评估：A-
北京师范大学,公共管理,学科评估：A-
北京师范大学,生态学,学科评估：A-
北京师范大学,马克思主义理论,学科评估：A-
北京师范大学,哲学,学科评估：A-
北京师范大学,化学,学科评估：B+
北京师范大学,艺术学理论,学科评估：B+
北京师范大学,法学,学科评估：B+
北京师范大学,体育学,学科评估：B+
北京师范大学,生物学,学科评估：B+
北京师范大学,物理学,学科评估：B+
北京师范大学,世界史,学科评估：B+
北京师范大学,工商管理,学科评估：B
北京师范大学,计算机科学与技术,学科评估：B
北京师范大学,政治学,学科评估：B-
北京师范大学,社会学,学科评估：B-
北京师范大学,系统科学,学科评估：B-
北京师范大学,测绘科学与技术,学科评估：C+
北京师范大学,新闻传播学,学科评估：C+
北京师范大学,图书情报与档案管理,学科评估：C+
北京师范大学,音乐与舞蹈学,学科评估：C+
北京师范大学,水利工程,学科评估：C+
北京师范大学,经济学,学科评估：C+
北京师范大学,核科学与技术,学科评估：C
北京师范大学,考古学,学科评估：C-
北京师范大学,美术学,学科评估：C-
北京师范大学,天文学,学科评估：C-
对外经济贸易大学,经济学,学科评估：A
对外经济贸易大学,工商管理,学科评估：A
对外经济贸易大学,外国语言文学,学科评估：A-
对外经济贸易大学,法学,学科评估：A-
对外经济贸易大学,统计学,学科评估：B+
对外经济贸易大学,理论经济学,学科评估：B
对外经济贸易大学,政治学,学科评估：B
对外经济贸易大学,公共管理,学科评估：B
河北大学,中国语言文学,学科评估：B
河北大学,新闻传播学,学科评估：B
河北大学,马克思主义理论,学科评估：B-
河北大学,光学工程,学科评估：B-
河北大学,中国史,学科评估：B-
河北大学,生物学,学科评估：B-
河北大学,教育学,学科评估：B-
河北大学,化学,学科评估：B-
河北大学,计算机科学与技术,学科评估：C+
河北大学,软件工程,学科评估：C+
河北大学,管理科学与工程,学科评估：C+
河北大学,理论经济学,学科评估：C+
河北大学,哲学,学科评估：C+
河北大学,法学,学科评估：C+
河北大学,图书情报与档案管理,学科评估：C
河北大学,生态学,学科评估：C
河北大学,经济学,学科评估：C
河北大学,公共管理,学科评估：C
河北大学,统计学,学科评估：C
河北大学,临床医学,学科评估：C-
河北大学,工商管理,学科评估：C-
河北大学,仪器科学与技术,学科评估：C-
河北大学,美术学,学科评估：C-
河北大学,电子科学与技术,学科评估：C-
河北大学,外国语言文学,学科评估：C-
河北大学,数学,学科评估：C-
河北科技大学,化学工程与技术,学科评估：C+
河北科技大学,环境科学与工程,学科评估：C
河北经贸大学,工商管理,学科评估：C+
河北经贸大学,经济学,学科评估：C+
河北经贸大学,法学,学科评估：C
河北经贸大学,统计学,学科评估：C
西安电子科技大学,电子科学与技术,学科评估：A+
西安电子科技大学,信息与通信工程,学科评估：A
西安电子科技大学,计算机科学与技术,学科评估：A-
西安电子科技大学,控制科学与工程,学科评估：B+
西安电子科技大学,软件工程,学科评估：B+
西安电子科技大学,机械工程,学科评估：B+
西安电子科技大学,光学工程,学科评估：B
西安电子科技大学,仪器科学与技术,学科评估：B
西安电子科技大学,管理科学与工程,学科评估：B-
西安电子科技大学,生物医学工程,学科评估：C+
西安电子科技大学,材料科学与工程,学科评估：C+
湖南师范大学,教育学,学科评估：B+
湖南师范大学,数学,学科评估：B+
湖南师范大学,外国语言文学,学科评估：B+
湖南师范大学,地理学,学科评估：B
湖南师范大学,哲学,学科评估：B
湖南师范大学,马克思主义理论,学科评估：B
湖南师范大学,新闻传播学,学科评估：B
湖南师范大学,法学,学科评估：B
湖南师范大学,体育学,学科评估：B
湖南师范大学,化学,学科评估：B
湖南师范大学,美术学,学科评估：B
湖南师范大学,生物学,学科评估：B
湖南师范大学,物理学,学科评估：B
湖南师范大学,中国语言文学,学科评估：B
湖南师范大学,音乐与舞蹈学,学科评估：B
湖南师范大学,生态学,学科评估：B-
湖南师范大学,政治学,学科评估：B-
湖南师范大学,心理学,学科评估：B-
湖南师范大学,中国史,学科评估：B-
湖南师范大学,统计学,学科评估：C+
湖南师范大学,理论经济学,学科评估：C+
湖南师范大学,设计学,学科评估：C
湖南师范大学,世界史,学科评估：C-
湖南师范大学,社会学,学科评估：C-
湖南师范大学,基础医学,学科评估：C-
南开大学,理论经济学,学科评估：A
南开大学,数学,学科评估：A
南开大学,工商管理,学科评估：A
南开大学,统计学,学科评估：A
南开大学,化学,学科评估：A
南开大学,政治学,学科评估：A-
南开大学,马克思主义理论,学科评估：A-
南开大学,经济学,学科评估：A-
南开大学,世界史,学科评估：A-
南开大学,生物学,学科评估：A-
南开大学,中国史,学科评估：A-
南开大学,环境科学与工程,学科评估：A-
南开大学,物理学,学科评估：A-
南开大学,中国语言文学,学科评估：A-
南开大学,公共管理,学科评估：B+
南开大学,法学,学科评估：B+
南开大学,图书情报与档案管理,学科评估：B+
南开大学,生态学,学科评估：B+
南开大学,计算机科学与技术,学科评估：B+
南开大学,社会学,学科评估：B+
南开大学,哲学,学科评估：B+
南开大学,光学工程,学科评估：B+
南开大学,外国语言文学,学科评估：B+
南开大学,电子科学与技术,学科评估：B
南开大学,药学,学科评估：B
南开大学,材料科学与工程,学科评估：B
南开大学,软件工程,学科评估：B
南开大学,管理科学与工程,学科评估：B
南开大学,控制科学与工程,学科评估：B
南开大学,考古学,学科评估：B-
南开大学,基础医学,学科评估：B-
南开大学,临床医学,学科评估：B-
南开大学,信息与通信工程,学科评估：C
南开大学,新闻传播学,学科评估：C-
南开大学,口腔医学,学科评估：C-
天津大学,化学工程与技术,学科评估：A+
天津大学,光学工程,学科评估：A
天津大学,仪器科学与技术,学科评估：A
天津大学,机械工程,学科评估：A
天津大学,管理科学与工程,学科评估：A
天津大学,土木工程,学科评估：A-
天津大学,城乡规划学,学科评估：A-
天津大学,材料科学与工程,学科评估：A-
天津大学,水利工程,学科评估：A-
天津大学,力学,学科评估：A-
天津大学,软件工程,学科评估：A-
天津大学,建筑学,学科评估：A-
天津大学,环境科学与工程,学科评估：A-
天津大学,动力工程及工程热物理,学科评估：A-
天津大学,风景园林学,学科评估：B+
天津大学,控制科学与工程,学科评估：B+
天津大学,电气工程,学科评估：B+
天津大学,电子科学与技术,学科评估：B+
天津大学,公共管理,学科评估：B+
天津大学,生物医学工程,学科评估：B+
天津大学,计算机科学与技术,学科评估：B+
天津大学,工商管理,学科评估：B+
天津大学,信息与通信工程,学科评估：B+
天津大学,教育学,学科评估：B
天津大学,船舶与海洋工程,学科评估：B
中国海洋大学,海洋科学,学科评估：A+
中国海洋大学,水产,学科评估：A+
中国海洋大学,食品科学与工程,学科评估：B+
中国海洋大学,药学,学科评估：B+
中国海洋大学,生物学,学科评估：B+
中国海洋大学,环境科学与工程,学科评估：B+
中国海洋大学,生态学,学科评估：B
中国海洋大学,工商管理,学科评估：B
中国海洋大学,计算机科学与技术,学科评估：B
中国海洋大学,水利工程,学科评估：B
中国海洋大学,经济学,学科评估：B
中国海洋大学,外国语言文学,学科评估：B
中国海洋大学,软件工程,学科评估：B
中国海洋大学,法学,学科评估：B
中国海洋大学,大气科学,学科评估：C+
中国海洋大学,地理学,学科评估：C+
中国海洋大学,数学,学科评估：C+
中国海洋大学,公共管理,学科评估：C+
中国海洋大学,农林经济管理,学科评估：C+
中国海洋大学,化学工程与技术,学科评估：C
中国海洋大学,材料科学与工程,学科评估：C
中国海洋大学,化学,学科评估：C
中国海洋大学,政治学,学科评估：C
中国海洋大学,中国语言文学,学科评估：C
中国海洋大学,信息与通信工程,学科评估：C
